customer_id,customer_name,region,segment,signup_date,account_owner
C0001,Customer 0001,North,Mid-Market,2023-04-04,Casey
C0002,Customer 0002,South,Enterprise,2022-03-02,Drew
C0003,Customer 0003,East,SMB,2023-01-04,Eden
C0004,Customer 0004,West,Enterprise,2023-05-18,Drew
C0005,Customer 0005,North,SMB,2023-08-11,Casey
C0006,Customer 0006,South,SMB,2022-05-08,Eden
C0007,Customer 0007,East,Mid-Market,2022-10-09,Eden
C0008,Customer 0008,West,Mid-Market,2022-11-12,Blake
C0009,Customer 0009,North,Mid-Market,2023-09-14,Alex
C0010,Customer 0010,South,Enterprise,2022-07-13,Drew
C0011,Customer 0011,East,Mid-Market,2023-05-06,Blake
C0012,Customer 0012,West,Enterprise,2022-11-08,Eden
C0013,Customer 0013,North,Mid-Market,2023-06-16,Alex
C0014,Customer 0014,South,Mid-Market,2022-12-15,Alex
C0015,Customer 0015,East,SMB,2023-06-05,Drew
C0016,Customer 0016,West,Enterprise,2022-09-14,Eden
C0017,Customer 0017,North,SMB,2023-09-26,Blake
C0018,Customer 0018,South,Mid-Market,2023-07-11,Alex
C0019,Customer 0019,East,SMB,2023-04-26,Casey
C0020,Customer 0020,West,SMB,2023-01-31,Drew
C0021,Customer 0021,North,SMB,2022-04-23,Eden
C0022,Customer 0022,South,Mid-Market,2022-03-10,Blake
C0023,Customer 0023,East,Enterprise,2022-11-01,Eden
C0024,Customer 0024,West,Mid-Market,2023-09-21,Blake
C0025,Customer 0025,North,Mid-Market,2023-03-22,Alex
C0026,Customer 0026,South,SMB,2023-07-18,Alex
C0027,Customer 0027,East,Mid-Market,2023-07-01,Drew
C0028,Customer 0028,West,Enterprise,2022-07-13,Drew
C0029,Customer 0029,North,Mid-Market,2022-12-20,Casey
C0030,Customer 0030,South,SMB,2022-06-21,Alex
C0031,Customer 0031,East,Mid-Market,2023-04-04,Casey
C0032,Customer 0032,West,Enterprise,2022-02-25,Drew
C0033,Customer 0033,North,Mid-Market,2023-01-31,Casey
C0034,Customer 0034,South,Mid-Market,2023-07-11,Blake
C0035,Customer 0035,East,SMB,2022-09-01,Casey
C0036,Customer 0036,West,SMB,2022-07-13,Casey
C0037,Customer 0037,North,Enterprise,2022-01-25,Blake
C0038,Customer 0038,South,SMB,2023-08-22,Blake
C0039,Customer 0039,East,SMB,2022-11-01,Drew
C0040,Customer 0040,West,Enterprise,2022-12-20,Drew
C0041,Customer 0041,North,Mid-Market,2022-10-14,Casey
C0042,Customer 0042,South,Enterprise,2022-08-13,Alex
C0043,Customer 0043,East,SMB,2022-03-16,Alex
C0044,Customer 0044,West,Enterprise,2023-05-03,Casey
C0045,Customer 0045,North,SMB,2023-09-23,Casey
C0046,Customer 0046,South,SMB,2022-12-15,Drew
C0047,Customer 0047,East,SMB,2022-04-27,Blake
C0048,Customer 0048,West,Mid-Market,2023-04-24,Drew
C0049,Customer 0049,North,SMB,2023-11-03,Alex
C0050,Customer 0050,South,SMB,2022-08-26,Eden
C0051,Customer 0051,East,Enterprise,2022-12-13,Drew
C0052,Customer 0052,West,Mid-Market,2023-06-19,Eden
C0053,Customer 0053,North,Mid-Market,2022-07-02,Drew
C0054,Customer 0054,South,SMB,2023-05-31,Blake
C0055,Customer 0055,East,SMB,2022-11-09,Eden
C0056,Customer 0056,West,Mid-Market,2023-05-08,Blake
C0057,Customer 0057,North,SMB,2023-07-21,Casey
C0058,Customer 0058,South,SMB,2022-11-21,Eden
C0059,Customer 0059,East,Mid-Market,2022-12-11,Drew
C0060,Customer 0060,West,Mid-Market,2022-08-05,Drew
C0061,Customer 0061,North,Mid-Market,2022-03-08,Drew
C0062,Customer 0062,South,SMB,2023-06-15,Casey
C0063,Customer 0063,East,SMB,2022-05-06,Casey
C0064,Customer 0064,West,Mid-Market,2023-04-08,Alex
C0065,Customer 0065,North,SMB,2022-05-03,Casey
C0066,Customer 0066,South,SMB,2022-07-29,Eden
C0067,Customer 0067,East,Mid-Market,2022-11-09,Blake
C0068,Customer 0068,West,Enterprise,2022-07-26,Alex
C0069,Customer 0069,North,Enterprise,2022-10-20,Casey
C0070,Customer 0070,South,Mid-Market,2022-02-15,Alex
C0071,Customer 0071,East,Mid-Market,2023-04-15,Casey
C0072,Customer 0072,West,Enterprise,2022-04-23,Casey
C0073,Customer 0073,North,Mid-Market,2023-07-20,Blake
C0074,Customer 0074,South,SMB,2023-01-17,Casey
C0075,Customer 0075,East,SMB,2022-07-19,Alex
C0076,Customer 0076,West,Enterprise,2022-01-07,Eden
C0077,Customer 0077,North,SMB,2022-07-31,Casey
C0078,Customer 0078,South,SMB,2023-04-12,Drew
C0079,Customer 0079,East,SMB,2022-06-20,Drew
C0080,Customer 0080,West,Enterprise,2023-10-20,Drew
C0081,Customer 0081,North,SMB,2023-03-07,Eden
C0082,Customer 0082,South,SMB,2022-06-15,Alex
C0083,Customer 0083,East,Mid-Market,2023-01-18,Blake
C0084,Customer 0084,West,Enterprise,2022-11-19,Eden
C0085,Customer 0085,North,SMB,2022-05-22,Eden
C0086,Customer 0086,South,SMB,2023-03-12,Casey
C0087,Customer 0087,East,SMB,2023-11-25,Eden
C0088,Customer 0088,West,SMB,2023-01-09,Alex
C0089,Customer 0089,North,SMB,2023-11-10,Eden
C0090,Customer 0090,South,Enterprise,2022-03-05,Drew
C0091,Customer 0091,East,Enterprise,2022-06-06,Eden
C0092,Customer 0092,West,Mid-Market,2022-11-25,Blake
C0093,Customer 0093,North,Mid-Market,2022-08-23,Drew
C0094,Customer 0094,South,SMB,2023-09-13,Alex
C0095,Customer 0095,East,Mid-Market,2022-09-23,Blake
C0096,Customer 0096,West,Enterprise,2023-10-26,Blake
C0097,Customer 0097,North,SMB,2022-02-17,Eden
C0098,Customer 0098,South,SMB,2023-06-07,Alex
C0099,Customer 0099,East,Mid-Market,2023-05-19,Eden
C0100,Customer 0100,West,SMB,2022-07-16,Blake
C0101,Customer 0101,North,Mid-Market,2022-08-13,Eden
C0102,Customer 0102,South,Mid-Market,2022-10-31,Alex
C0103,Customer 0103,East,SMB,2022-05-02,Blake
C0104,Customer 0104,West,SMB,2022-01-13,Drew
C0105,Customer 0105,North,SMB,2022-07-27,Casey
C0106,Customer 0106,South,Mid-Market,2023-06-21,Casey
C0107,Customer 0107,East,SMB,2023-08-29,Eden
C0108,Customer 0108,West,Enterprise,2022-03-01,Drew
C0109,Customer 0109,North,SMB,2022-10-31,Alex
C0110,Customer 0110,South,Enterprise,2022-02-26,Blake
C0111,Customer 0111,East,SMB,2022-04-03,Casey
C0112,Customer 0112,West,Enterprise,2022-08-08,Eden
C0113,Customer 0113,North,SMB,2023-11-04,Eden
C0114,Customer 0114,South,SMB,2023-02-22,Casey
C0115,Customer 0115,East,Mid-Market,2023-08-12,Alex
C0116,Customer 0116,West,SMB,2023-06-09,Casey
C0117,Customer 0117,North,Enterprise,2022-04-27,Casey
C0118,Customer 0118,South,Enterprise,2023-06-01,Eden
C0119,Customer 0119,East,Mid-Market,2023-03-21,Drew
C0120,Customer 0120,West,SMB,2023-04-10,Alex
C0121,Customer 0121,North,Enterprise,2022-06-25,Drew
C0122,Customer 0122,South,SMB,2022-08-22,Casey
C0123,Customer 0123,East,Mid-Market,2023-10-16,Eden
C0124,Customer 0124,West,Enterprise,2022-07-22,Casey
C0125,Customer 0125,North,SMB,2023-10-11,Casey
C0126,Customer 0126,South,Mid-Market,2023-11-05,Eden
C0127,Customer 0127,East,Mid-Market,2023-01-07,Blake
C0128,Customer 0128,West,SMB,2023-11-28,Drew
