order_id,order_date,customer_id,product_id,quantity,revenue,status,channel
O10000,2024-01-01,C0090,SVC-IMPL,2,1833.69,completed,sales_assisted
O10001,2024-01-01,C0052,SUB-ENTERPRISE,4,1375.15,completed,web
O10002,2024-01-01,C0254,HW-GATEWAY,2,978.14,completed,sales_assisted
O10003,2024-01-01,C0279,HW-SENSOR,2,454.04,completed,partner
O10004,2024-01-01,C0198,SVC-TRAIN,2,1234.69,completed,web
O10005,2024-01-01,C0118,SUB-BASIC,5,239.16,completed,web
O10006,2024-01-01,C0158,SUB-ENTERPRISE,1,341.13,completed,web
O10007,2024-01-01,C0021,SUB-BASIC,1,41.72,completed,sales_assisted
O10008,2024-01-02,C0061,SUB-BASIC,4,190.92,completed,sales_assisted
O10009,2024-01-02,C0260,SUB-BASIC,5,243.56,completed,sales_assisted
O10010,2024-01-02,C0019,HW-BUNDLE,1,747.36,completed,sales_assisted
O10011,2024-01-02,C0280,SVC-TRAIN,4,2714.3,completed,web
O10012,2024-01-02,C0037,HW-CABLE,5,160.88,completed,web
O10013,2024-01-02,C0265,HW-SENSOR,4,834.19,completed,web
O10014,2024-01-02,C0038,SVC-AUDIT,2,3026.21,completed,sales_assisted
O10015,2024-01-02,C0172,SUB-BASIC,5,253.56,completed,web
O10016,2024-01-02,C0017,HW-SENSOR,5,959.04,completed,sales_assisted
O10017,2024-01-03,C0057,HW-GATEWAY,1,478.99,completed,web
O10018,2024-01-03,C0037,SUB-BASIC,2,95.49,completed,web
O10019,2024-01-03,C0088,HW-BUNDLE,2,1283.88,completed,partner
O10020,2024-01-03,C0083,SUB-BASIC,4,175.92,completed,web
O10021,2024-01-03,C0215,SVC-IMPL,5,4356.29,completed,web
O10022,2024-01-03,C0154,HW-GATEWAY,5,2130.04,completed,web
O10023,2024-01-03,C0158,SVC-AUDIT,3,4723.87,completed,web
O10024,2024-01-03,C0011,SVC-IMPL,1,868.48,completed,sales_assisted
O10025,2024-01-04,C0233,HW-CABLE,2,72.31,completed,web
O10026,2024-01-04,C0047,SUB-PRO,1,-77.18,refunded,sales_assisted
O10027,2024-01-04,C0133,HW-SENSOR,2,,completed,sales_assisted
O10028,2024-01-04,C0077,SVC-IMPL,5,4632.3,completed,web
