account_id,account_name,plan,region,seats,mrr,contract_start,churned,churn_reason_code,days_to_observed_churn
A0001,Acme Tenant 0001,Pro,NA,27,595.0,2023-08-24,0,none,-1
A0002,Acme Tenant 0002,Pro,APAC,53,1190.0,2023-08-21,1,competitor,26
A0003,Acme Tenant 0003,Enterprise,NA,19,1497.0,2023-09-08,0,none,-1
A0004,Acme Tenant 0004,Starter,EU,76,585.0,2023-03-18,0,none,-1
A0005,Acme Tenant 0005,Starter,APAC,12,78.0,2024-02-13,1,support,40
A0006,Acme Tenant 0006,Pro,NA,34,714.0,2023-05-23,1,none,88
A0007,Acme Tenant 0007,Starter,EU,35,273.0,2023-05-09,1,low_usage,10
A0008,Acme Tenant 0008,Starter,NA,25,195.0,2023-02-05,1,low_usage,29
A0009,Acme Tenant 0009,Pro,NA,41,952.0,2024-04-29,0,none,-1
A0010,Acme Tenant 0010,Pro,APAC,52,1190.0,2023-08-01,1,price,53
A0011,Acme Tenant 0011,Enterprise,NA,27,2495.0,2023-03-13,1,support,82
A0012,Acme Tenant 0012,Pro,NA,41,952.0,2023-12-24,1,none,33
A0013,Acme Tenant 0013,Enterprise,APAC,195,19461.0,2023-03-15,0,none,-1
A0014,Acme Tenant 0014,Enterprise,APAC,224,21956.0,2024-02-28,0,none,-1
A0015,Acme Tenant 0015,Enterprise,EU,166,16467.0,2023-03-01,1,price,44
A0016,Acme Tenant 0016,Pro,NA,11,238.0,2023-07-20,0,none,-1
A0017,Acme Tenant 0017,Pro,EU,3,119.0,2023-06-05,1,support,69
A0018,Acme Tenant 0018,Pro,NA,57,1309.0,2023-05-29,0,none,-1
A0019,Acme Tenant 0019,Pro,NA,27,595.0,2024-01-28,1,competitor,87
A0020,Acme Tenant 0020,Pro,APAC,31,714.0,2024-02-05,0,none,-1
A0021,Acme Tenant 0021,Starter,APAC,26,195.0,2023-10-12,0,none,-1
A0022,Acme Tenant 0022,Starter,APAC,14,78.0,2023-04-27,0,none,-1
A0023,Acme Tenant 0023,Pro,EU,78,1785.0,2024-01-20,0,none,-1
A0024,Acme Tenant 0024,Pro,EU,74,1666.0,2023-03-20,0,none,-1
A0025,Acme Tenant 0025,Pro,EU,19,357.0,2024-03-03,0,none,-1
A0026,Acme Tenant 0026,Enterprise,NA,32,2994.0,2023-02-18,0,none,-1
A0027,Acme Tenant 0027,Starter,NA,39,273.0,2023-06-05,1,none,79
A0028,Acme Tenant 0028,Starter,APAC,46,351.0,2023-03-13,1,price,90
A0029,Acme Tenant 0029,Starter,APAC,6,39.0,2023-06-24,1,competitor,30
A0030,Acme Tenant 0030,Starter,NA,74,546.0,2023-04-07,0,none,-1
A0031,Acme Tenant 0031,Pro,NA,-2,1071.0,2024-01-05,1,support,30
A0032,Acme Tenant 0032,Starter,NA,47,351.0,2024-03-18,1,none,112
A0033,Acme Tenant 0033,Starter,NA,75,585.0,2024-04-07,1,support,6
A0034,Acme Tenant 0034,Pro,NA,64,1428.0,2023-06-07,0,none,-1
A0035,Acme Tenant 0035,Starter,NA,26,195.0,2024-04-06,1,price,117
A0036,Acme Tenant 0036,Pro,NA,17,357.0,2023-04-23,0,none,-1
A0037,Acme Tenant 0037,Enterprise,APAC,156,15469.0,2023-10-12,1,competitor,27
A0038,Acme Tenant 0038,Starter,NA,19,117.0,2023-03-22,1,price,101
A0039,Acme Tenant 0039,Pro,EU,77,1785.0,2023-04-30,0,none,-1
A0040,Acme Tenant 0040,Pro,NA,46,1071.0,2023-09-25,1,price,18
A0041,Acme Tenant 0041,Starter,NA,74,546.0,2023-01-23,0,none,-1
A0042,Acme Tenant 0042,Enterprise,APAC,29,2495.0,2023-06-13,1,none,22
A0043,Acme Tenant 0043,Starter,EU,78,585.0,2024-02-26,1,low_usage,38
A0044,Acme Tenant 0044,Starter,APAC,76,585.0,2023-12-31,1,support,23
A0045,Acme Tenant 0045,Starter,APAC,46,351.0,2023-04-12,0,none,-1
A0046,Acme Tenant 0046,Starter,EU,22,156.0,2023-09-28,1,price,75
A0047,Acme Tenant 0047,Proo,APAC,73,1666.0,2024-01-11,0,none,-1
A0048,Acme Tenant 0048,Starter,APAC,30,234.0,2023-08-30,1,none,95
A0049,Acme Tenant 0049,Starter,NA,6,39.0,2023-02-04,0,none,-1
A0050,Acme Tenant 0050,Starter,EU,55,429.0,2023-07-29,1,support,111
A0051,Acme Tenant 0051,Enterprise,APAC,166,16467.0,2023-07-13,0,none,-1
A0052,Acme Tenant 0052,Enterprise,EU,40,3992.0,2024-01-21,0,none,-1
A0053,Acme Tenant 0053,Starter,NA,74,546.0,2023-11-14,1,none,21
A0054,Acme Tenant 0054,Enterprise,NA,100,9980.0,2024-02-01,0,none,-1
A0055,Acme Tenant 0055,Pro,NA,33,714.0,2024-04-14,1,price,71
A0056,Acme Tenant 0056,Pro,NA,37,833.0,2024-02-17,0,none,-1
A0057,Acme Tenant 0057,Starter,NA,71,546.0,2023-02-16,0,none,-1
A0058,Acme Tenant 0058,Starter,NA,-2,507.0,2023-09-01,0,none,-1
A0059,Acme Tenant 0059,Starter,EU,69,507.0,2023-02-14,1,low_usage,115
A0060,Acme Tenant 0060,Pro,NA,7,119.0,2023-07-23,0,none,-1
A0061,Acme Tenant 0061,Starter,EU,58,429.0,2023-06-02,1,low_usage,90
A0062,Acme Tenant 0062,Starter,NA,12,78.0,2023-09-19,1,competitor,78
A0063,Acme Tenant 0063,Pro,NA,63,1428.0,2023-08-03,0,none,-1
A0064,Acme Tenant 0064,Pro,APAC,30,714.0,2023-06-16,1,competitor,52
A0065,Acme Tenant 0065,Starter,NA,44,312.0,2023-08-01,0,none,-1
A0066,Acme Tenant 0066,Starter,NA,33,234.0,2023-06-19,1,price,20
A0067,Acme Tenant 0067,Pro,NA,77,1785.0,2023-02-05,0,none,-1
A0068,Acme Tenant 0068,Starter,EU,56,429.0,2023-08-04,0,none,-1
A0069,Acme Tenant 0069,Starter,EU,40,312.0,2023-05-30,1,low_usage,104
A0070,Acme Tenant 0070,Pro,EU,70,1666.0,2023-05-27,1,support,80
A0071,Acme Tenant 0071,Enterprise,NA,235,23453.0,2023-11-23,0,none,-1
A0072,Acme Tenant 0072,Starter,EU,77,585.0,2023-03-29,1,none,29
A0073,Acme Tenant 0073,Enterprise,EU,7,499.0,2023-07-24,0,none,-1
A0074,Acme Tenant 0074,Starter,EU,75,585.0,2024-01-23,0,none,-1
A0075,Acme Tenant 0075,Starter,EU,2,39.0,2023-09-09,0,none,-1
A0076,Acme Tenant 0076,Starter,APAC,16,117.0,2023-08-26,0,none,-1
A0077,Acme Tenant 0077,Pro,APAC,52,1190.0,2023-12-10,0,none,-1
A0078,Acme Tenant 0078,Starter,NA,42,312.0,2023-07-13,1,price,63
A0079,Acme Tenant 0079,Starter,NA,63,468.0,2024-01-29,0,none,-1
A0080,Acme Tenant 0080,Pro,APAC,44,952.0,2023-06-20,0,none,-1
A0081,Acme Tenant 0081,Enterprise,NA,52,4990.0,2023-03-13,1,support,10
A0082,Acme Tenant 0082,Starter,NA,44,312.0,2023-06-20,0,none,-1
A0083,Acme Tenant 0083,Pro,NA,23,476.0,2024-01-25,0,none,-1
A0084,Acme Tenant 0084,Enterprise,NA,125,12475.0,2023-01-14,0,none,-1
A0085,Acme Tenant 0085,Pro,NA,9,119.0,2023-01-19,0,none,-1
A0086,Acme Tenant 0086,Pro,EU,65,1547.0,2024-05-01,1,support,7
A0087,Acme Tenant 0087,Starter,NA,59,429.0,2023-10-13,1,none,38
A0088,Acme Tenant 0088,Enterprise,NA,79,7485.0,2024-01-05,0,none,-1
A0089,Acme Tenant 0089,Pro,EU,53,1190.0,2023-06-25,1,low_usage,105
A0090,Acme Tenant 0090,Starter,APAC,59,429.0,2023-12-03,1,support,110
A0091,Acme Tenant 0091,Pro,EU,36,833.0,2023-08-09,0,none,-1
A0092,Acme Tenant 0092,Pro,NA,76,1785.0,2023-02-24,1,price,40
A0093,Acme Tenant 0093,Starter,APAC,43,312.0,2024-04-26,1,low_usage,7
A0094,Acme Tenant 0094,Starter,APAC,42,312.0,2024-02-20,1,low_usage,80
A0095,Acme Tenant 0095,Starter,EU,34,234.0,2023-11-19,1,competitor,116
A0096,Acme Tenant 0096,Pro,NA,18,357.0,2024-03-06,0,none,-1
A0097,Acme Tenant 0097,Starter,EU,6,39.0,2023-02-12,0,none,-1
A0098,Acme Tenant 0098,Pro,NA,74,1666.0,2023-11-07,1,support,34
A0099,Acme Tenant 0099,Enterprise,EU,103,9980.0,2023-02-05,1,competitor,79
A0100,Acme Tenant 0100,Starter,EU,21,156.0,2023-04-06,1,price,28
A0101,Acme Tenant 0101,Starter,EU,26,195.0,2023-10-29,1,support,104
A0102,Acme Tenant 0102,Starter,NA,78,585.0,2024-02-26,0,none,-1
A0103,Acme Tenant 0103,Starter,NA,34,234.0,2023-07-31,0,none,-1
A0104,Acme Tenant 0104,Pro,EU,37,833.0,2023-08-16,0,none,-1
A0105,Acme Tenant 0105,Starter,EU,15,117.0,2023-04-04,0,none,-1
A0106,Acme Tenant 0106,Pro,EU,11,238.0,2024-01-21,0,none,-1
A0107,Acme Tenant 0107,Starter,APAC,21,156.0,2023-02-22,1,low_usage,72
A0108,Acme Tenant 0108,Starter,NA,39,273.0,2023-09-06,1,price,85
A0109,Acme Tenant 0109,Pro,NA,28,595.0,2023-11-04,1,low_usage,58
A0110,Acme Tenant 0110,Pro,EU,11,238.0,2023-02-15,1,competitor,119
A0111,Acme Tenant 0111,Pro,NA,4,119.0,2024-03-13,0,none,-1
A0112,Acme Tenant 0112,Starter,NA,79,585.0,2024-01-08,1,competitor,115
A0113,Acme Tenant 0113,Starter,EU,61,468.0,2023-12-30,1,low_usage,81
A0114,Acme Tenant 0114,Pro,EU,14,238.0,2024-02-01,0,none,-1
A0115,Acme Tenant 0115,Pro,NA,44,952.0,2023-04-12,1,price,61
A0116,Acme Tenant 0116,Starter,NA,14,78.0,2024-02-24,0,none,-1
A0117,Acme Tenant 0117,Starter,EU,32,234.0,2023-05-15,1,support,68
A0118,Acme Tenant 0118,Pro,EU,54,1190.0,2023-01-08,0,none,-1
A0119,Acme Tenant 0119,Pro,NA,19,357.0,2023-04-28,1,low_usage,14
A0120,Acme Tenant 0120,Starter,APAC,53,390.0,2023-10-16,1,competitor,48
A0121,Acme Tenant 0121,Pro,EU,47,1071.0,2024-01-05,1,none,116
A0122,Acme Tenant 0122,Pro,EU,17,357.0,2024-05-13,0,none,-1
A0123,Acme Tenant 0123,Enterprise,EU,205,20459.0,2023-10-02,0,none,-1
A0124,Acme Tenant 0124,Pro,APAC,63,1428.0,2024-05-11,0,none,-1
A0125,Acme Tenant 0125,Enterprise,EU,220,21956.0,2023-11-27,1,competitor,68
A0126,Acme Tenant 0126,Pro,NA,8,119.0,2023-10-14,1,low_usage,7
A0127,Acme Tenant 0127,Starter,NA,15,117.0,2023-04-22,0,none,-1
A0128,Acme Tenant 0128,Pro,APAC,47,1071.0,2023-07-15,0,none,-1
A0129,Acme Tenant 0129,Proo,APAC,44,312.0,2024-01-31,1,price,116
A0130,Acme Tenant 0130,Pro,NA,68,1547.0,2023-09-06,0,none,-1
A0131,Acme Tenant 0131,Pro,APAC,52,1190.0,2024-05-03,1,support,10
A0132,Acme Tenant 0132,Starter,NA,55,429.0,2023-03-14,1,competitor,94
A0133,Acme Tenant 0133,Starter,EU,13,78.0,2023-12-18,0,none,-1
A0134,Acme Tenant 0134,Starter,NA,60,468.0,2024-03-11,1,none,14
A0135,Acme Tenant 0135,Enterprise,EU,47,4491.0,2023-02-09,0,none,-1
A0136,Acme Tenant 0136,Starter,NA,65,507.0,2024-01-27,1,competitor,116
A0137,Acme Tenant 0137,Pro,NA,21,476.0,2023-05-18,0,none,-1
A0138,Acme Tenant 0138,Starter,NA,1,39.0,2023-12-19,1,price,105
A0139,Acme Tenant 0139,Starter,NA,49,351.0,2024-03-07,1,none,73
A0140,Acme Tenant 0140,Enterprise,NA,109,10479.0,2023-09-06,0,none,-1
A0141,Acme Tenant 0141,Starter,EU,55,429.0,2023-08-27,1,price,25
A0142,Acme Tenant 0142,Proo,NA,77,1785.0,2023-07-26,0,none,-1
A0143,Acme Tenant 0143,Starter,EU,20,156.0,2023-07-28,1,price,87
A0144,Acme Tenant 0144,Pro,APAC,73,1666.0,2024-01-16,1,none,14
A0145,Acme Tenant 0145,Enterprise,EU,8,499.0,2024-04-16,0,none,-1
A0146,Acme Tenant 0146,Pro,EU,66,1547.0,2023-03-21,0,none,-1
A0147,Acme Tenant 0147,Starter,NA,70,546.0,2023-05-27,1,competitor,17
A0148,Acme Tenant 0148,Pro,APAC,77,1785.0,2024-02-01,1,low_usage,98
A0149,Acme Tenant 0149,Pro,EU,10,238.0,2023-02-01,0,none,-1
A0150,Acme Tenant 0150,Enterprise,APAC,75,7485.0,2023-09-17,0,none,-1
A0151,Acme Tenant 0151,Enterprise,APAC,76,7485.0,2023-01-15,0,none,-1
A0152,Acme Tenant 0152,Proo,NA,66,507.0,2023-06-07,0,none,-1
A0153,Acme Tenant 0153,Starter,APAC,37,273.0,2023-04-18,1,none,86
A0154,Acme Tenant 0154,Pro,NA,29,595.0,2023-11-27,0,none,-1
A0155,Acme Tenant 0155,Starter,EU,32,234.0,2023-09-19,0,none,-1
A0156,Acme Tenant 0156,Enterprise,NA,159,15469.0,2023-04-01,0,none,-1
A0157,Acme Tenant 0157,Starter,EU,63,468.0,2023-11-21,1,price,12
A0158,Acme Tenant 0158,Pro,EU,26,595.0,2024-01-10,0,none,-1
A0159,Acme Tenant 0159,Starter,NA,3,39.0,2023-01-07,1,none,68
A0160,Acme Tenant 0160,Pro,EU,22,476.0,2024-04-20,1,price,14
A0161,Acme Tenant 0161,Pro,NA,18,357.0,2024-05-07,1,competitor,24
A0162,Acme Tenant 0162,Pro,EU,38,833.0,2024-03-30,0,none,-1
A0163,Acme Tenant 0163,Enterprise,NA,96,9481.0,2023-03-15,0,none,-1
A0164,Acme Tenant 0164,Pro,EU,13,238.0,2023-08-25,0,none,-1
A0165,Acme Tenant 0165,Starter,EU,76,585.0,2023-01-15,0,none,-1
A0166,Acme Tenant 0166,Pro,NA,34,714.0,2024-04-16,1,none,74
A0167,Acme Tenant 0167,Enterprise,NA,109,10479.0,2023-05-16,1,competitor,11
A0168,Acme Tenant 0168,Starter,NA,30,234.0,2023-01-25,1,support,90
A0169,Acme Tenant 0169,Starter,NA,37,273.0,2024-05-10,1,competitor,49
A0170,Acme Tenant 0170,Starter,EU,39,273.0,2023-07-28,1,none,35
A0171,Acme Tenant 0171,Enterprise,APAC,40,3992.0,2023-08-16,1,competitor,76
A0172,Acme Tenant 0172,Starter,APAC,8,39.0,2023-07-12,0,none,-1
A0173,Acme Tenant 0173,Pro,NA,60,1428.0,2023-04-20,1,none,50
A0174,Acme Tenant 0174,Starter,NA,45,351.0,2023-06-03,1,price,8
A0175,Acme Tenant 0175,Pro,EU,3,119.0,2024-01-23,0,none,-1
A0176,Acme Tenant 0176,Starter,NA,31,234.0,2023-01-08,0,none,-1
A0177,Acme Tenant 0177,Starter,APAC,62,468.0,2024-05-04,1,support,109
A0178,Acme Tenant 0178,Pro,EU,79,1785.0,2024-01-19,0,none,-1
A0179,Acme Tenant 0179,Starter,NA,72,546.0,2023-01-04,0,none,-1
A0180,Acme Tenant 0180,Pro,NA,24,476.0,2024-04-19,1,price,50
A0181,Acme Tenant 0181,Pro,NA,50,1190.0,2023-04-08,0,none,-1
A0182,Acme Tenant 0182,Pro,APAC,17,357.0,2024-01-01,1,low_usage,30
A0183,Acme Tenant 0183,Starter,EU,68,507.0,2023-05-06,0,none,-1
A0184,Acme Tenant 0184,Pro,APAC,6,119.0,2023-03-31,0,none,-1
A0185,Acme Tenant 0185,Starter,APAC,4,39.0,2023-04-08,1,competitor,26
A0186,Acme Tenant 0186,Enterprise,EU,26,2495.0,2024-02-06,0,none,-1
A0187,Acme Tenant 0187,Starter,NA,56,429.0,2023-09-12,1,none,38
