ticket_id,account_id,created_at,priority,category,resolved_hours
T00001,A0002,2024-01-23,P3,how_to,29.1
T00002,A0002,2024-02-26,P2,how_to,43.6
T00003,A0002,2024-05-13,P1,bug,43.0
T00004,A0002,2024-03-06,P2,how_to,55.4
T00005,A0002,2024-05-12,P3,billing,56.4
T00006,A0002,2024-02-11,P3,outage,60.0
T00007,A0002,2024-05-31,P2,billing,62.1
T00008,A0004,2024-04-26,P3,bug,
T00009,A0004,2024-04-18,P3,access,66.2
T00010,A0005,2024-05-11,P2,billing,40.0
T00011,A0005,2024-05-02,P2,billing,37.5
T00012,A0005,2024-06-02,P1,how_to,23.4
T00013,A0005,2024-01-27,P2,access,3.4
T00014,A0005,2024-03-15,P3,billing,
T00015,A0006,2024-06-15,P1,billing,15.5
T00016,A0006,2024-06-02,P2,outage,30.8
T00017,A0006,2024-06-08,P1,billing,16.1
T00018,A0006,2024-04-28,P1,access,4.4
T00019,A0006,2024-02-09,P1,billing,40.9
T00020,A0006,2024-02-13,P2,outage,38.6
T00021,A0006,2024-04-20,P3,outage,33.0
T00022,A0007,2024-04-07,P1,access,
T00023,A0007,2024-04-17,P2,access,
T00024,A0008,2024-03-01,P2,outage,7.0
T00025,A0008,2024-01-03,P1,bug,57.4
T00026,A0008,2024-04-16,P1,access,5.0
T00027,A0008,2024-02-02,P3,how_to,23.2
T00028,A0008,2024-02-04,P1,billing,40.7
T00029,A0008,2024-05-17,P1,bug,65.1
T00030,A0008,2024-01-22,P3,outage,29.5
T00031,A0009,2024-06-08,P3,access,65.0
T00032,A0009,2024-05-11,P3,access,59.9
T00033,A0009,2024-05-26,P3,outage,46.3
T00034,A0009,2024-04-12,P2,access,9.6
T00035,A0010,2024-03-04,P1,access,71.9
T00036,A0010,2024-06-24,P2,outage,26.4
T00037,A0011,2024-02-05,P1,billing,9.5
T00038,A0011,2024-01-05,P1,outage,3.4
T00039,A0012,2024-03-29,P1,billing,3.1
T00040,A0012,2024-02-05,P3,outage,70.1
T00041,A0012,2024-03-18,P2,bug,35.9
T00042,A0012,2024-04-28,P2,access,37.3
T00043,A0012,2024-03-13,P1,access,
T00044,A0012,2024-05-31,P1,bug,57.9
T00045,A0012,2024-06-25,P3,how_to,28.3
T00046,A0013,2024-04-09,P1,how_to,26.7
T00047,A0013,2024-02-13,P1,bug,19.3
T00048,A0014,2024-02-22,P3,how_to,55.0
T00049,A0014,2024-03-05,P3,access,59.8
T00050,A0014,2024-05-02,P3,access,25.9
T00051,A0014,2024-01-06,P1,access,27.0
T00052,A0015,2024-03-05,P2,access,67.7
T00053,A0015,2024-01-11,P1,billing,60.5
T00054,A0015,2024-03-15,P1,outage,51.8
T00055,A0015,2024-05-21,P2,outage,14.0
T00056,A0015,2024-03-02,P3,billing,60.1
T00057,A0015,2024-05-24,P2,bug,
T00058,A0015,2024-01-01,P2,billing,38.3
T00059,A0015,2024-01-25,P1,billing,69.1
T00060,A0016,2024-05-28,P3,billing,44.2
T00061,A0016,2024-01-16,P2,outage,20.1
T00062,A0016,2024-04-27,P3,billing,62.2
T00063,A0017,2024-05-07,P1,billing,17.1
T00064,A0017,2024-01-02,P3,access,9.6
T00065,A0017,2024-06-04,P1,outage,
T00066,A0017,2024-02-21,P1,bug,43.2
T00067,A0017,2024-05-16,P1,access,70.8
T00068,A0019,2024-02-28,P2,bug,42.3
T00069,A0019,2024-01-24,P1,access,
T00070,A0019,2024-01-07,P1,access,23.1
T00071,A0020,2024-02-25,P3,bug,39.8
T00072,A0020,2024-04-21,P2,billing,
T00073,A0020,2024-01-19,P2,billing,
T00074,A0021,2024-06-18,P3,how_to,33.2
T00075,A0021,2024-05-08,P3,billing,2.3
T00076,A0021,2024-01-13,P2,billing,51.3
T00077,A0021,2024-03-22,P3,access,47.5
T00078,A0022,2024-04-18,P3,billing,7.7
T00079,A0023,2024-05-07,P2,bug,40.0
T00080,A0025,2024-02-09,P3,access,15.6
T00081,A0025,2024-03-12,P2,outage,30.7
T00082,A0026,2024-06-10,P2,how_to,47.7
T00083,A0026,2024-05-01,P2,bug,21.6
T00084,A0026,2024-01-12,P2,how_to,15.3
T00085,A0027,2024-05-22,P2,bug,14.7
T00086,A0027,2024-05-24,P2,bug,
T00087,A0027,2024-01-15,P1,billing,27.3
T00088,A0028,2024-01-15,P3,billing,29.1
T00089,A0028,2024-01-24,P3,billing,
T00090,A0028,2024-01-06,P1,access,67.4
T00091,A0028,2024-02-03,P2,outage,59.1
T00092,A0028,2024-02-12,P3,billing,22.9
T00093,A0028,2024-01-01,P1,bug,9.8
T00094,A0028,2024-05-09,P1,how_to,14.1
T00095,A0028,2024-02-23,P2,billing,9.7
T00096,A0029,2024-01-07,P2,billing,
T00097,A0029,2024-04-20,P2,how_to,60.5
T00098,A0029,2024-01-19,P3,how_to,45.8
T00099,A0029,2024-04-16,P3,outage,4.0
T00100,A0030,2024-01-15,P2,billing,10.4
T00101,A0030,2024-04-16,P3,access,
T00102,A0031,2024-02-21,P2,bug,
T00103,A0031,2024-06-01,P1,outage,49.2
T00104,A0031,2024-04-04,P1,access,64.9
T00105,A0032,2024-01-11,P3,outage,69.1
T00106,A0032,2024-05-21,P2,outage,20.1
T00107,A0032,2024-05-02,P2,how_to,10.0
T00108,A0032,2024-02-23,P2,bug,40.1
T00109,A0032,2024-02-26,P3,outage,70.0
T00110,A0032,2024-02-05,P1,outage,
T00111,A0032,2024-05-15,P3,billing,
T00112,A0032,2024-05-04,P1,billing,3.5
T00113,A0033,2024-01-22,P2,outage,62.9
T00114,A0033,2024-03-07,P2,access,
T00115,A0033,2024-05-20,P3,outage,38.0
T00116,A0033,2024-05-12,P1,how_to,39.4
T00117,A0033,2024-03-13,P2,access,
T00118,A0034,2024-02-20,P1,outage,35.2
T00119,A0035,2024-03-07,P2,access,45.5
T00120,A0035,2024-04-01,P2,how_to,19.4
T00121,A0035,2024-06-18,P3,access,43.3
T00122,A0035,2024-06-04,P3,outage,5.3
T00123,A0037,2024-05-01,P1,how_to,36.1
T00124,A0037,2024-03-02,P2,how_to,26.9
T00125,A0037,2024-02-06,P1,outage,59.9
T00126,A0037,2024-06-13,P2,access,64.3
T00127,A0037,2024-01-19,P3,bug,5.5
T00128,A0037,2024-03-05,P1,bug,18.1
T00129,A0037,2024-05-25,P1,outage,56.7
T00130,A0037,2024-01-22,P2,how_to,25.3
T00131,A0037,2024-03-21,P2,outage,71.0
T00132,A0037,2024-06-13,P3,billing,48.2
T00133,A0038,2024-06-21,P3,how_to,20.8
T00134,A0038,2024-05-23,P1,billing,5.4
T00135,A0038,2024-03-29,P2,access,30.8
T00136,A0038,2024-04-09,P1,billing,15.9
T00137,A0038,2024-05-29,P1,bug,58.2
T00138,A0039,2024-06-20,P1,outage,32.9
T00139,A0039,2024-04-23,P3,billing,65.3
T00140,A0040,2024-06-01,P1,outage,43.6
T00141,A0040,2024-04-16,P1,bug,26.9
T00142,A0040,2024-03-29,P1,access,45.8
T00143,A0040,2024-03-26,P1,bug,57.2
T00144,A0040,2024-03-21,P1,bug,68.7
T00145,A0040,2024-05-30,P1,outage,18.9
T00146,A0042,2024-05-16,P2,how_to,
T00147,A0042,2024-05-31,P3,how_to,
T00148,A0042,2024-03-31,P2,access,41.2
T00149,A0042,2024-01-09,P3,how_to,28.8
T00150,A0042,2024-01-20,P1,outage,
T00151,A0043,2024-02-29,P2,access,48.5
T00152,A0043,2024-04-05,P3,access,45.5
T00153,A0043,2024-05-31,P1,billing,31.7
T00154,A0043,2024-02-24,P2,how_to,6.5
T00155,A0043,2024-05-27,P1,access,35.7
T00156,A0043,2024-01-16,P3,access,63.4
T00157,A0043,2024-06-07,P2,access,42.8
T00158,A0043,2024-01-10,P1,billing,
T00159,A0043,2024-01-11,P2,billing,70.0
T00160,A0044,2024-01-20,P3,billing,25.6
T00161,A0044,2024-05-17,P1,outage,31.0
T00162,A0044,2024-06-10,P3,billing,18.0
T00163,A0044,2024-04-29,P3,billing,56.5
T00164,A0044,2024-04-18,P1,bug,
T00165,A0044,2024-04-28,P1,access,23.2
T00166,A0044,2024-03-31,P1,access,50.2
T00167,A0045,2024-02-19,P3,how_to,59.0
T00168,A0046,2024-02-16,P1,billing,14.6
T00169,A0046,2024-03-04,P1,outage,21.3
T00170,A0046,2024-01-02,P2,outage,20.3
T00171,A0046,2024-03-13,P1,how_to,
T00172,A0046,2024-05-25,P3,access,60.4
T00173,A0046,2024-01-12,P1,outage,36.2
T00174,A0046,2024-03-16,P2,billing,26.7
T00175,A0046,2024-05-22,P3,billing,35.8
T00176,A0047,2024-04-10,P3,billing,53.7
T00177,A0048,2024-02-13,P1,billing,
T00178,A0048,2024-06-08,P1,bug,
T00179,A0048,2024-03-02,P2,outage,52.2
T00180,A0048,2024-03-04,P2,billing,17.0
T00181,A0049,2024-03-03,P1,bug,59.5
T00182,A0049,2024-01-16,P3,bug,7.5
T00183,A0050,2024-02-17,P1,bug,56.1
T00184,A0050,2024-02-14,P1,access,37.3
T00185,A0050,2024-01-02,P2,access,67.4
T00186,A0050,2024-01-21,P1,bug,2.1
T00187,A0050,2024-02-12,P2,how_to,3.9
T00188,A0050,2024-05-13,P2,how_to,42.7
T00189,A0050,2024-06-27,P1,bug,68.2
T00190,A0050,2024-04-28,P3,access,61.9
T00191,A0050,2024-02-20,P2,bug,38.2
T00192,A0051,2024-06-23,P3,outage,40.2
T00193,A0052,2024-04-15,P3,outage,14.6
T00194,A0052,2024-04-07,P2,access,6.2
T00195,A0053,2024-03-01,P1,billing,4.0
T00196,A0053,2024-06-26,P1,billing,70.9
T00197,A0053,2024-03-31,P2,access,6.3
T00198,A0053,2024-05-14,P1,outage,28.2
T00199,A0053,2024-05-25,P1,outage,
T00200,A0053,2024-06-11,P1,how_to,48.7
T00201,A0053,2024-04-30,P1,how_to,51.4
T00202,A0054,2024-02-21,P1,billing,29.6
T00203,A0054,2024-01-08,P3,how_to,29.4
T00204,A0055,2024-01-10,P3,outage,40.6
T00205,A0055,2024-04-20,P2,billing,60.1
T00206,A0055,2024-02-16,P3,bug,59.8
T00207,A0055,2024-04-14,P1,outage,44.0
T00208,A0055,2024-04-21,P3,how_to,22.0
T00209,A0055,2024-01-13,P1,outage,4.2
T00210,A0055,2024-03-22,P1,how_to,12.0
T00211,A0055,2024-03-17,P2,access,8.0
T00212,A0056,2024-03-13,P3,billing,23.7
T00213,A0057,2024-05-15,P3,outage,66.7
T00214,A0057,2024-01-30,P2,outage,
T00215,A0059,2024-06-23,P1,access,52.6
T00216,A0059,2024-02-03,P3,how_to,68.1
T00217,A0059,2024-03-22,P1,access,12.2
T00218,A0060,2024-04-27,P3,how_to,26.1
T00219,A0060,2024-05-05,P3,bug,17.7
T00220,A0060,2024-04-16,P3,billing,53.4
T00221,A0061,2024-04-01,P2,bug,38.8
T00222,A0061,2024-05-28,P1,access,49.1
T00223,A0061,2024-01-04,P2,outage,43.7
T00224,A0061,2024-05-28,P1,outage,53.4
T00225,A0062,2024-05-23,P1,outage,22.0
T00226,A0062,2024-03-19,P3,outage,14.1
T00227,A0062,2024-01-12,P1,access,5.3
T00228,A0062,2024-06-25,P2,access,69.7
T00229,A0063,2024-04-17,P3,how_to,26.5
T00230,A0063,2024-03-01,P1,how_to,62.2
T00231,A0063,2024-02-19,P2,bug,67.6
T00232,A0064,2024-06-05,P2,outage,61.8
T00233,A0064,2024-02-01,P1,how_to,22.2
T00234,A0064,2024-04-16,P1,outage,71.5
T00235,A0064,2024-06-24,P1,access,61.7
T00236,A0064,2024-01-05,P2,how_to,8.5
T00237,A0064,2024-01-11,P3,billing,65.4
T00238,A0064,2024-04-22,P2,how_to,59.8
T00239,A0066,2024-01-10,P1,how_to,43.7
T00240,A0066,2024-03-27,P1,how_to,14.1
T00241,A0066,2024-06-19,P3,billing,17.8
T00242,A0066,2024-05-07,P1,billing,65.0
T00243,A0066,2024-02-27,P2,bug,70.1
T00244,A0067,2024-03-01,P2,outage,40.0
T00245,A0069,2024-03-25,P3,how_to,34.6
T00246,A0069,2024-05-03,P1,how_to,1.6
T00247,A0069,2024-06-15,P3,how_to,34.9
T00248,A0069,2024-06-22,P2,access,50.7
T00249,A0069,2024-05-01,P1,bug,18.1
T00250,A0069,2024-03-20,P1,outage,3.8
T00251,A0069,2024-05-28,P3,billing,
T00252,A0069,2024-01-02,P2,how_to,
T00253,A0070,2024-03-06,P1,access,39.5
T00254,A0070,2024-03-29,P1,billing,55.9
T00255,A0070,2024-02-01,P1,access,36.4
T00256,A0070,2024-06-18,P1,bug,68.5
T00257,A0070,2024-04-17,P2,bug,68.2
T00258,A0070,2024-02-06,P3,outage,60.3
T00259,A0071,2024-05-17,P3,outage,9.6
T00260,A0071,2024-02-12,P3,access,67.5
T00261,A0071,2024-03-25,P3,how_to,25.7
T00262,A0072,2024-02-16,P1,how_to,
T00263,A0072,2024-03-05,P1,how_to,4.6
T00264,A0072,2024-06-26,P1,outage,
T00265,A0072,2024-05-15,P1,outage,53.6
T00266,A0072,2024-04-05,P2,billing,65.2
T00267,A0072,2024-05-24,P2,bug,2.8
T00268,A0072,2024-04-23,P3,access,54.7
T00269,A0072,2024-05-13,P1,outage,1.5
T00270,A0072,2024-03-14,P2,billing,69.5
T00271,A0073,2024-03-09,P3,access,9.0
T00272,A0073,2024-06-11,P3,bug,42.4
T00273,A0073,2024-01-29,P3,billing,59.4
T00274,A0074,2024-04-02,P3,bug,68.8
T00275,A0075,2024-02-09,P2,how_to,17.6
T00276,A0075,2024-03-09,P3,billing,57.4
T00277,A0076,2024-04-18,P1,outage,10.2
T00278,A0076,2024-02-02,P2,outage,19.8
T00279,A0077,2024-03-15,P2,how_to,12.5
T00280,A0077,2024-03-03,P3,outage,18.2
T00281,A0078,2024-04-19,P3,billing,44.0
T00282,A0078,2024-03-03,P1,access,38.2
T00283,A0079,2024-03-07,P3,outage,2.3
T00284,A0079,2024-05-28,P3,how_to,34.0
T00285,A0079,2024-05-29,P2,bug,55.4
T00286,A0079,2024-06-15,P1,billing,47.2
T00287,A0080,2024-03-01,P3,billing,70.8
T00288,A0080,2024-06-23,P2,how_to,21.8
T00289,A0080,2024-01-28,P3,access,32.4
T00290,A0081,2024-03-10,P3,outage,53.0
T00291,A0081,2024-04-03,P3,bug,57.6
T00292,A0081,2024-04-30,P3,access,30.3
T00293,A0081,2024-02-04,P3,billing,50.8
T00294,A0081,2024-02-06,P1,access,67.5
T00295,A0081,2024-01-02,P1,billing,45.5
T00296,A0082,2024-01-17,P3,billing,48.7
T00297,A0083,2024-02-17,P1,billing,41.0
T00298,A0083,2024-01-05,P2,access,12.6
T00299,A0083,2024-02-04,P2,outage,7.3
T00300,A0083,2024-04-25,P3,how_to,66.1
T00301,A0084,2024-05-15,P1,billing,11.9
T00302,A0084,2024-04-04,P3,outage,45.4
T00303,A0084,2024-06-08,P2,how_to,47.5
T00304,A0085,2024-06-22,P3,billing,61.3
T00305,A0085,2024-02-12,P3,billing,29.5
T00306,A0085,2024-05-29,P1,outage,
T00307,A0086,2024-03-06,P3,how_to,8.7
T00308,A0086,2024-05-09,P2,outage,44.0
T00309,A0086,2024-01-04,P3,billing,8.5
T00310,A0086,2024-02-12,P3,bug,57.5
T00311,A0086,2024-02-07,P3,billing,
T00312,A0086,2024-05-02,P2,how_to,11.5
T00313,A0086,2024-01-04,P2,bug,
T00314,A0087,2024-04-09,P1,bug,
T00315,A0087,2024-02-24,P2,access,21.0
T00316,A0088,2024-03-31,P3,billing,58.9
T00317,A0088,2024-05-02,P3,access,51.6
T00318,A0088,2024-04-21,P3,how_to,5.0
T00319,A0089,2024-01-10,P3,billing,34.0
T00320,A0089,2024-03-28,P1,access,32.5
T00321,A0089,2024-01-04,P2,bug,66.3
T00322,A0090,2024-03-07,P1,access,14.0
T00323,A0090,2024-05-16,P2,how_to,18.4
T00324,A0090,2024-03-18,P1,access,61.7
T00325,A0090,2024-03-01,P1,access,54.7
T00326,A0090,2024-01-18,P1,billing,21.9
T00327,A0090,2024-01-08,P2,billing,
T00328,A0090,2024-04-11,P1,billing,43.5
T00329,A0090,2024-02-11,P2,outage,43.6
T00330,A0090,2024-06-07,P2,billing,14.0
T00331,A0090,2024-06-20,P1,billing,71.7
T00332,A0092,2024-05-30,P2,billing,1.9
T00333,A0092,2024-02-07,P2,access,24.6
T00334,A0094,2024-04-26,P1,access,2.7
T00335,A0094,2024-03-24,P1,access,53.9
T00336,A0094,2024-01-30,P1,how_to,70.4
T00337,A0094,2024-05-11,P2,access,
T00338,A0094,2024-05-10,P3,how_to,61.4
T00339,A0094,2024-04-16,P2,outage,50.9
T00340,A0094,2024-03-02,P2,access,42.6
T00341,A0095,2024-01-15,P3,bug,5.2
T00342,A0095,2024-01-19,P2,billing,55.6
