account_id,month,active_users,events,feature_adoption_score
A0001,2024-01,42,751,0.785
A0001,2024-02,58,1017,0.467
A0001,2024-03,41,853,0.392
A0001,2024-04,62,649,0.252
A0001,2024-05,58,1248,0.542
A0001,2024-06,74,1470,0.444
A0002,2024-01,67,974,0.303
A0002,2024-02,57,726,0.452
A0002,2024-03,30,485,0.541
A0002,2024-04,24,569,0.392
A0002,2024-05,14,345,0.388
A0002,2024-06,1,17,0.345
A0003,2024-01,164,1358,0.409
A0003,2024-02,131,1602,0.627
A0003,2024-03,152,2271,0.59
A0003,2024-04,136,2915,0.374
A0003,2024-05,144,3106,0.061
A0003,2024-06,145,3468,0.518
A0004,2024-01,178,2983,0.624
A0004,2024-02,188,4443,0.592
A0004,2024-03,189,4304,0.863
A0004,2024-04,202,3406,0.338
A0004,2024-05,201,2568,0.63
A0004,2024-06,174,4314,0.334
A0005,2024-01,195,1570,0.286
A0005,2024-02,216,3661,0.521
A0005,2024-03,173,3693,0.311
A0005,2024-04,173,2617,0.458
A0005,2024-05,152,3232,0.215
A0005,2024-06,135,2431,0.098
A0006,2024-01,152,2069,0.459
A0006,2024-02,127,1199,0.24
A0006,2024-03,103,2478,0.573
A0006,2024-04,95,2247,0.391
A0006,2024-05,86,1553,0.211
A0006,2024-06,16,272,0.217
A0007,2024-01,301,6660,0.612
A0007,2024-02,287,2886,0.557
A0007,2024-03,271,5065,0.157
A0007,2024-04,265,4412,0.534
A0007,2024-05,211,5166,0.0
A0007,2024-06,195,3664,0.419
A0008,2024-01,47,935,0.534
A0008,2024-02,70,1431,0.281
A0008,2024-03,9,181,0.461
A0008,2024-04,6,86,0.21
A0008,2024-05,1,20,0.086
A0008,2024-06,1,20,0.445
A0009,2024-01,344,5960,0.699
A0009,2024-02,344,3377,0.562
A0009,2024-03,341,5709,0.589
A0009,2024-04,358,3819,0.647
A0009,2024-05,326,3964,0.581
A0009,2024-06,340,7845,0.326
A0010,2024-01,278,3220,0.147
A0010,2024-02,254,2389,0.412
A0010,2024-03,228,3790,0.483
A0010,2024-04,207,3432,0.551
A0010,2024-05,188,1768,0.593
A0010,2024-06,182,2422,0.505
A0011,2024-01,106,1364,0.421
A0011,2024-02,125,2999,0.31
A0011,2024-03,110,2531,0.121
A0011,2024-04,95,1594,0.514
A0011,2024-05,45,756,0.426
A0011,2024-06,43,512,0.0
A0012,2024-01,83,1820,0.489
A0012,2024-02,69,715,0.423
A0012,2024-03,61,1145,0.635
A0012,2024-04,8,91,0.498
A0012,2024-05,1,16,0.551
A0012,2024-06,9,175,0.212
A0013,2024-01,136,2797,0.65
A0013,2024-02,152,1945,0.62
A0013,2024-03,150,2399,0.759
A0013,2024-04,154,1559,0.439
A0013,2024-05,144,2062,0.247
A0013,2024-06,155,1391,0.426
A0014,2024-01,384,4207,0.387
A0014,2024-02,399,5627,0.593
A0014,2024-03,387,4371,0.608
A0014,2024-04,384,9236,0.634
A0014,2024-05,388,4922,0.479
A0014,2024-06,377,5536,0.524
A0015,2024-01,205,4815,0.14
A0015,2024-02,198,4495,0.194
A0015,2024-03,188,2137,0.497
A0015,2024-04,156,2592,0.308
A0015,2024-05,142,1649,0.34
A0015,2024-06,139,1158,0.141
A0016,2024-01,387,6694,0.652
A0016,2024-02,391,3524,0.557
A0016,2024-03,390,5258,0.763
A0016,2024-04,371,3137,0.523
A0016,2024-05,397,7428,0.551
A0016,2024-06,384,6781,0.55
A0017,2024-01,125,1002,0.328
A0017,2024-02,111,1746,0.372
A0017,2024-03,86,1083,0.403
A0017,2024-04,73,746,0.585
A0017,2024-05,55,1022,0.357
A0017,2024-06,43,373,0.56
A0018,2024-01,78,1820,0.515
A0018,2024-02,77,976,0.781
A0018,2024-03,98,2031,0.714
A0018,2024-04,88,1796,0.633
A0018,2024-05,111,2278,0.426
A0018,2024-06,117,1903,0.453
A0019,2024-01,325,2859,0.138
A0019,2024-02,317,5780,0.544
A0019,2024-03,299,4160,0.45
A0019,2024-04,271,4836,0.386
A0019,2024-05,256,5726,0.211
A0019,2024-06,263,5890,0.319
A0020,2024-01,219,4031,0.827
A0020,2024-02,197,4693,0.455
A0020,2024-03,233,5650,0.568
A0020,2024-04,230,4412,0.613
A0020,2024-05,238,5064,0.435
A0020,2024-06,224,3933,0.567
A0021,2024-01,155,3688,0.593
A0021,2024-02,171,2286,0.504
A0021,2024-03,156,1723,0.666
A0021,2024-04,156,3466,0.176
A0021,2024-05,161,1687,0.547
A0021,2024-06,153,1847,0.762
A0022,2024-01,283,3932,0.645
A0022,2024-02,312,4345,0.651
A0022,2024-03,303,7308,0.426
A0022,2024-04,308,7288,0.813
A0022,2024-05,301,5789,0.26
A0022,2024-06,326,3994,0.496
A0023,2024-01,116,1210,0.844
A0023,2024-02,129,1498,0.48
A0023,2024-03,122,2275,0.926
A0023,2024-04,132,2526,0.426
A0023,2024-05,107,1874,0.907
A0023,2024-06,151,1389,0.498
A0024,2024-01,263,4536,0.548
A0024,2024-02,259,5372,0.24
A0024,2024-03,284,6032,0.596
A0024,2024-04,282,3510,0.418
A0024,2024-05,282,2771,0.717
A0024,2024-06,307,7481,0.334
A0025,2024-01,246,4680,0.33
A0025,2024-02,256,2445,0.448
A0025,2024-03,238,4289,0.454
A0025,2024-04,270,3387,0.492
A0025,2024-05,250,3591,0.611
A0025,2024-06,246,4055,0.292
A0026,2024-01,198,4756,0.549
A0026,2024-02,197,2801,0.7
A0026,2024-03,208,2321,0.781
A0026,2024-04,217,4542,0.782
A0026,2024-05,216,3699,0.515
A0026,2024-06,213,2350,0.436
A0027,2024-01,156,3317,0.224
A0027,2024-02,150,2190,0.357
A0027,2024-03,157,2324,0.441
A0027,2024-04,120,2758,0.391
A0027,2024-05,93,1757,0.262
A0027,2024-06,69,1583,0.054
A0028,2024-01,286,3500,0.569
A0028,2024-02,244,4740,0.512
A0028,2024-03,208,3744,0.286
A0028,2024-04,234,3978,0.486
A0028,2024-05,186,3438,0.273
A0028,2024-06,184,4536,0.411
A0029,2024-01,152,3794,0.511
A0029,2024-02,136,2396,0.403
A0029,2024-03,139,2255,0.0
A0029,2024-04,114,2676,0.525
A0029,2024-05,95,2286,0.309
A0029,2024-06,59,1018,0.08
A0030,2024-01,86,1430,0.63
A0030,2024-02,102,2030,0.408
A0030,2024-03,98,1676,0.541
A0030,2024-04,83,1156,0.465
A0030,2024-05,104,1264,0.599
A0030,2024-06,109,1002,0.476
A0031,2024-01,339,8306,0.606
A0031,2024-02,318,7368,0.206
A0031,2024-03,291,5081,0.261
A0031,2024-04,268,6245,0.604
A0031,2024-05,272,2843,0.502
A0031,2024-06,247,4089,0.335
A0032,2024-01,106,1771,0.241
A0032,2024-02,71,1531,0.414
A0032,2024-03,58,550,0.538
A0032,2024-04,57,1168,0.551
A0032,2024-05,24,301,0.521
A0032,2024-06,28,319,0.386
A0033,2024-01,281,3314,0.551
A0033,2024-02,278,4651,0.266
A0033,2024-03,262,4241,0.383
A0033,2024-04,249,4997,0.135
A0033,2024-05,240,4311,0.326
A0033,2024-06,217,5161,0.311
A0034,2024-01,180,2814,0.592
A0034,2024-02,205,1659,0.521
A0034,2024-03,221,3871,0.762
A0034,2024-04,218,4419,0.488
A0034,2024-05,219,5347,0.677
A0034,2024-06,224,4920,0.519
A0035,2024-01,256,5711,0.235
A0035,2024-02,205,3296,0.266
A0035,2024-03,197,3657,0.205
A0035,2024-04,209,3671,0.139
A0035,2024-05,184,3667,0.323
A0035,2024-06,150,1974,0.371
A0036,2024-01,279,6930,0.828
