date,region,product_category,revenue,units
2024-01-05,North,Subscription,12500.00,42
2024-01-12,North,Hardware,8200.50,18
2024-01-19,West,Subscription,14200.00,48
2024-01-26,East,Services,5600.00,12
2024-02-02,North,Subscription,13100.00,44
2024-02-09,West,Hardware,9100.00,20
2024-02-16,East,Subscription,11800.00,39
2024-02-23,South,Services,4900.00,10
2024-03-01,North,Subscription,10200.00,34
2024-03-08,West,Subscription,8900.00,30
2024-03-15,West,Hardware,7200.00,16
2024-03-22,East,Subscription,9500.00,32
2024-03-29,South,Services,4100.00,9
2024-04-05,North,Subscription,12800.00,43
2024-04-12,West,Subscription,13500.00,45
2024-04-19,East,Hardware,8800.00,19
2024-04-26,South,Subscription,11200.00,37
2024-05-03,North,Services,6200.00,13
2024-05-10,West,Subscription,14100.00,47
2024-05-17,East,Subscription,11900.00,40
2024-05-24,South,Hardware,7600.00,17
2024-06-01,North,Subscription,13200.00,44
2024-06-08,West,Subscription,13800.00,46
2024-06-15,East,Services,5800.00,12
2024-06-22,South,Subscription,10500.00,35
2024-01-15,West,Subscription,-250.00,1
2024-03-10,North,Hardware,,5
2024-03-18,West,Subscription,8700.00,29
2024-02-20,West,Subscription,13900.00,46
2024-03-05,West,Subscription,8200.00,28
